trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.005, 'e': 1.0}",20,0,-78.86342244029431,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 0}",0
2,False,"{'a': 0.005, 'e': 0.9950124791926823}",35,0,-199.34822446025444,"{0: 20, 1: 4, 2: 8, 3: 0, 4: 3}",0
3,False,"{'a': 0.005, 'e': 0.9900498337491681}",25,0,-68.77073482655254,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
4,False,"{'a': 0.005, 'e': 0.9851119396030626}",25,0,-62.972242646865716,"{0: 14, 1: 6, 2: 5, 3: 0, 4: 0}",0
5,False,"{'a': 0.005, 'e': 0.9801986733067553}",25,0,-109.02142901945915,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
6,False,"{'a': 0.005, 'e': 0.9753099120283326}",20,0,-70.53894094788274,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
7,False,"{'a': 0.005, 'e': 0.9704455335485082}",20,0,-80.68784714428477,"{0: 11, 1: 6, 2: 2, 3: 0, 4: 1}",0
8,False,"{'a': 0.005, 'e': 0.9656054162575665}",25,7,-131.5897784950156,"{0: 11, 1: 1, 2: 2, 3: 2, 4: 2}",1
9,False,"{'a': 0.005, 'e': 0.9607894391523232}",30,0,-32.39231195062626,"{0: 23, 1: 2, 2: 5, 3: 0, 4: 0}",0
10,False,"{'a': 0.005, 'e': 0.9559974818331}",30,0,-169.90142508849613,"{0: 18, 1: 4, 2: 3, 3: 3, 4: 2}",0
11,False,"{'a': 0.005, 'e': 0.951229424500714}",25,0,-77.2451245444279,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
12,False,"{'a': 0.005, 'e': 0.9464851479534838}",30,20,-39.98847399995129,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 1}",1
13,False,"{'a': 0.005, 'e': 0.9417645335842487}",25,0,-109.91160224740482,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 2}",0
14,False,"{'a': 0.005, 'e': 0.9370674633774034}",25,0,-188.69199359287376,"{0: 15, 1: 3, 2: 3, 3: 0, 4: 4}",0
15,False,"{'a': 0.005, 'e': 0.9323938199059483}",20,0,-50.90921755928623,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
16,False,"{'a': 0.005, 'e': 0.9277434863285529}",35,0,-207.14357903731903,"{0: 21, 1: 6, 2: 4, 3: 0, 4: 4}",0
17,False,"{'a': 0.005, 'e': 0.9231163463866358}",20,0,-69.69434194558573,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
18,False,"{'a': 0.005, 'e': 0.9185122844014574}",20,0,-136.46483073376857,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
19,False,"{'a': 0.005, 'e': 0.9139311852712282}",20,0,-152.58540027814556,"{0: 10, 1: 4, 2: 1, 3: 3, 4: 2}",0
20,False,"{'a': 0.005, 'e': 0.9093729344682314}",20,0,-149.35418505211476,"{0: 9, 1: 2, 2: 7, 3: 0, 4: 2}",0
21,False,"{'a': 0.005, 'e': 0.9048374180359595}",20,0,-94.972594043003,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
22,False,"{'a': 0.005, 'e': 0.9003245225862656}",20,4,-99.88259438804108,"{0: 9, 1: 3, 2: 2, 3: 0, 4: 2}",1
23,False,"{'a': 0.005, 'e': 0.8958341352965282}",25,0,-38.81208499535005,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
24,False,"{'a': 0.005, 'e': 0.8913661439068313}",20,8,-49.294505842217724,"{0: 7, 1: 0, 2: 4, 3: 1, 4: 0}",1
25,False,"{'a': 0.005, 'e': 0.8869204367171575}",20,10,-29.525404700110066,"{0: 6, 1: 0, 2: 4, 3: 0, 4: 0}",1
26,False,"{'a': 0.005, 'e': 0.8824969025845955}",20,0,-100.3291180323988,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
27,False,"{'a': 0.005, 'e': 0.8780954309205613}",25,19,-1.6328362425587946,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
28,False,"{'a': 0.005, 'e': 0.8737159116880344}",25,0,-51.47031006064503,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
29,False,"{'a': 0.005, 'e': 0.8693582353988059}",20,0,-44.71343144162065,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
30,False,"{'a': 0.005, 'e': 0.8650222931107413}",25,0,-138.03158985822438,"{0: 14, 1: 5, 2: 3, 3: 1, 4: 2}",0
31,False,"{'a': 0.005, 'e': 0.8607079764250578}",25,0,-70.55276892524596,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
32,False,"{'a': 0.005, 'e': 0.8564151774836135}",20,0,-21.617925960294095,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
33,False,"{'a': 0.005, 'e': 0.8521437889662113}",20,0,10.67638832044601,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
34,False,"{'a': 0.005, 'e': 0.8478937040879159}",25,0,-137.60836794240703,"{0: 18, 1: 2, 2: 1, 3: 1, 4: 3}",0
35,False,"{'a': 0.005, 'e': 0.8436648165963837}",25,0,-54.45395482743312,"{0: 19, 1: 1, 2: 3, 3: 2, 4: 0}",0
36,False,"{'a': 0.005, 'e': 0.8394570207692074}",20,0,-114.27340224518936,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
37,False,"{'a': 0.005, 'e': 0.835270211411272}",25,0,-157.81874503810425,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
38,False,"{'a': 0.005, 'e': 0.8311042838521256}",25,0,-28.57974383381039,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
39,False,"{'a': 0.005, 'e': 0.8269591339433623}",30,21,-6.453060797156162,"{0: 6, 1: 3, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.005, 'e': 0.8228346580560184}",25,0,-44.72379026955746,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
41,False,"{'a': 0.005, 'e': 0.8187307530779818}",20,0,-48.911047171300055,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
42,False,"{'a': 0.005, 'e': 0.8146473164114145}",20,3,-82.24344814654637,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 2}",1
43,False,"{'a': 0.005, 'e': 0.8105842459701871}",25,0,-81.90043489801991,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
44,False,"{'a': 0.005, 'e': 0.8065414401773269}",20,13,-3.128883459232082,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
45,False,"{'a': 0.005, 'e': 0.8025187979624785}",25,11,-42.89247383589407,"{0: 9, 1: 1, 2: 3, 3: 1, 4: 0}",1
46,False,"{'a': 0.005, 'e': 0.7985162187593771}",20,0,-47.79962221302309,"{0: 13, 1: 4, 2: 1, 3: 2, 4: 0}",0
47,False,"{'a': 0.005, 'e': 0.794533602503334}",20,0,-65.66301962263847,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
48,False,"{'a': 0.005, 'e': 0.7905708496287356}",30,0,-52.465674353906415,"{0: 24, 1: 1, 2: 4, 3: 0, 4: 1}",0
49,False,"{'a': 0.005, 'e': 0.7866278610665535}",25,19,11.892552292631091,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.005, 'e': 0.7827045382418681}",20,5,-51.61673337494001,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 1}",1
51,False,"{'a': 0.005, 'e': 0.7788007830714049}",25,20,10.629621478778482,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.005, 'e': 0.774916497961081}",35,17,-53.83682176968033,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 0}",1
53,False,"{'a': 0.005, 'e': 0.7710515858035663}",30,20,-17.657672132685978,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
54,False,"{'a': 0.005, 'e': 0.7672059499758557}",20,0,-67.33756750216912,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
55,False,"{'a': 0.005, 'e': 0.7633794943368531}",20,0,-38.7481141981651,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
56,False,"{'a': 0.005, 'e': 0.7595721232249685}",35,17,-52.223655359759405,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 0}",1
57,False,"{'a': 0.005, 'e': 0.7557837414557255}",30,19,-15.0105103562577,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
58,False,"{'a': 0.005, 'e': 0.7520142543193826}",25,15,-35.26252566252218,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
59,False,"{'a': 0.005, 'e': 0.7482635675785653}",20,5,-45.545544090375806,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 1}",1
60,False,"{'a': 0.005, 'e': 0.7445315874659094}",25,14,-8.08050927440316,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 0}",1
61,False,"{'a': 0.005, 'e': 0.7408182206817179}",25,0,-127.28612498390649,"{0: 13, 1: 5, 2: 4, 3: 2, 4: 1}",0
62,False,"{'a': 0.005, 'e': 0.7371233743916278}",35,0,-35.64188376526503,"{0: 30, 1: 3, 2: 1, 3: 0, 4: 1}",0
63,False,"{'a': 0.005, 'e': 0.7334469562242892}",20,0,-73.9832799877326,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
64,False,"{'a': 0.005, 'e': 0.7297888742690568}",20,5,-6.8393659831851545,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
65,False,"{'a': 0.005, 'e': 0.7261490370736909}",20,0,-39.95322468248636,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
66,False,"{'a': 0.005, 'e': 0.7225273536420722}",35,9,-103.71045952822703,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 1}",1
67,False,"{'a': 0.005, 'e': 0.7189237334319262}",25,0,-118.55506177967564,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
68,False,"{'a': 0.005, 'e': 0.7153380863525599}",25,0,-44.89314693600555,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
69,False,"{'a': 0.005, 'e': 0.7117703227626097}",20,0,-55.485510901681366,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
70,False,"{'a': 0.005, 'e': 0.7082203534678}",30,0,-65.2659905896095,"{0: 23, 1: 0, 2: 6, 3: 0, 4: 1}",0
71,False,"{'a': 0.005, 'e': 0.7046880897187134}",30,1,-84.13561737437325,"{0: 18, 1: 2, 2: 8, 3: 1, 4: 0}",1
72,False,"{'a': 0.005, 'e': 0.7011734432085724}",20,0,-46.41421426935899,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
73,False,"{'a': 0.005, 'e': 0.697676326071031}",20,0,-8.713001279613167,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
74,False,"{'a': 0.005, 'e': 0.6941966508779789}",20,5,-3.1291732805851855,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 0}",1
75,False,"{'a': 0.005, 'e': 0.6907343306373547}",35,18,-71.73829793795218,"{0: 11, 1: 0, 2: 5, 3: 0, 4: 1}",1
76,False,"{'a': 0.005, 'e': 0.6872892787909722}",25,5,-115.73903411501001,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",1
77,False,"{'a': 0.005, 'e': 0.6838614092123558}",20,0,-64.08855412802222,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
78,False,"{'a': 0.005, 'e': 0.6804506362045877}",25,15,6.486095245430906,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
79,False,"{'a': 0.005, 'e': 0.6770568744981647}",20,0,-52.006537009164006,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
80,False,"{'a': 0.005, 'e': 0.6736800392488677}",30,0,-109.04952984820024,"{0: 22, 1: 1, 2: 3, 3: 3, 4: 1}",0
81,False,"{'a': 0.005, 'e': 0.6703200460356393}",30,0,-94.13749653012194,"{0: 21, 1: 2, 2: 5, 3: 1, 4: 1}",0
82,False,"{'a': 0.005, 'e': 0.6669768108584744}",20,0,-99.63001904703627,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
83,False,"{'a': 0.005, 'e': 0.6636502501363194}",20,0,-18.95584559512297,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
84,False,"{'a': 0.005, 'e': 0.6603402807049829}",30,0,-106.84630654912233,"{0: 23, 1: 1, 2: 3, 3: 1, 4: 2}",0
85,False,"{'a': 0.005, 'e': 0.6570468198150567}",20,0,0.06378597545612408,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
86,False,"{'a': 0.005, 'e': 0.6537697851298473}",20,12,6.622089277507019,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.005, 'e': 0.6505090947233165}",30,0,-9.308579693426104,"{0: 26, 1: 1, 2: 2, 3: 1, 4: 0}",0
88,False,"{'a': 0.005, 'e': 0.6472646670780347}",25,17,-62.227714800845284,"{0: 5, 1: 0, 2: 1, 3: 1, 4: 1}",1
89,False,"{'a': 0.005, 'e': 0.6440364210831414}",20,12,-2.852614852587891,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
90,False,"{'a': 0.005, 'e': 0.6408242760323187}",30,0,-108.32655331248213,"{0: 24, 1: 2, 2: 0, 3: 1, 4: 3}",0
91,False,"{'a': 0.005, 'e': 0.6376281516217733}",20,7,-25.288613942746395,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 0}",1
92,False,"{'a': 0.005, 'e': 0.6344479679482282}",20,0,-28.654887088836063,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
93,False,"{'a': 0.005, 'e': 0.631283645506926}",20,0,-27.70459308547569,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
94,False,"{'a': 0.005, 'e': 0.6281351051896408}",30,6,-63.421732900904715,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 1}",1
95,False,"{'a': 0.005, 'e': 0.6250022682827008}",25,0,-139.72861112223526,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
96,False,"{'a': 0.005, 'e': 0.62188505646502}",20,0,-64.66263470021043,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
97,False,"{'a': 0.005, 'e': 0.6187833918061408}",30,0,-148.53973232036583,"{0: 20, 1: 3, 2: 4, 3: 0, 4: 3}",1
98,False,"{'a': 0.005, 'e': 0.6156971967642851}",30,21,2.2858917325648784,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
99,False,"{'a': 0.005, 'e': 0.6126263941844161}",25,8,6.475703158642162,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
100,False,"{'a': 0.005, 'e': 0.6095709072963093}",20,0,-5.722401164558444,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
101,False,"{'a': 0.005, 'e': 0.6065306597126334}",25,2,-1.7982213766727233,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 0}",1
102,False,"{'a': 0.005, 'e': 0.6035055754270405}",25,0,-14.184731392227205,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
103,False,"{'a': 0.005, 'e': 0.6004955788122659}",20,8,-18.6479560931003,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 0}",1
104,False,"{'a': 0.005, 'e': 0.5975005946182375}",20,0,-59.908993560780075,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
105,False,"{'a': 0.005, 'e': 0.5945205479701944}",20,0,-12.312414646506683,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
106,False,"{'a': 0.005, 'e': 0.5915553643668151}",25,2,-98.21120203220946,"{0: 17, 1: 3, 2: 0, 3: 1, 4: 2}",1
107,False,"{'a': 0.005, 'e': 0.5886049696783552}",20,2,-111.17838543793052,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 3}",1
108,False,"{'a': 0.005, 'e': 0.5856692901447937}",30,4,-16.840941172906884,"{0: 21, 1: 0, 2: 5, 3: 0, 4: 0}",1
109,False,"{'a': 0.005, 'e': 0.5827482523739896}",25,10,2.9923812386575346,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
110,False,"{'a': 0.005, 'e': 0.5798417833398464}",25,8,-31.747332303364363,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 0}",1
111,False,"{'a': 0.005, 'e': 0.5769498103804866}",20,0,-122.95638375329796,"{0: 15, 1: 1, 2: 0, 3: 1, 4: 3}",0
112,False,"{'a': 0.005, 'e': 0.574072261196436}",20,12,-4.906138440518737,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
113,False,"{'a': 0.005, 'e': 0.5712090638488149}",20,6,-10.901562392897503,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
114,False,"{'a': 0.005, 'e': 0.5683601467575404}",25,8,-5.7801672694312725,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
115,False,"{'a': 0.005, 'e': 0.5655254386995371}",20,16,8.011149934552042,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.005, 'e': 0.5627048688069557}",25,19,-1.4581232598317733,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
117,False,"{'a': 0.005, 'e': 0.559898366565402}",25,1,-109.57996235082878,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 2}",1
118,False,"{'a': 0.005, 'e': 0.5571058618121739}",25,0,-132.00027508323592,"{0: 14, 1: 0, 2: 9, 3: 1, 4: 1}",0
119,False,"{'a': 0.005, 'e': 0.5543272847345071}",20,0,-50.588304345128726,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
120,False,"{'a': 0.005, 'e': 0.5515625658678298}",20,4,-81.0985759426693,"{0: 9, 1: 0, 2: 6, 3: 0, 4: 1}",1
121,False,"{'a': 0.005, 'e': 0.5488116360940265}",20,0,-16.87447207186842,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
122,False,"{'a': 0.005, 'e': 0.5460744266397094}",35,0,-122.929713920224,"{0: 27, 1: 3, 2: 2, 3: 0, 4: 3}",0
123,False,"{'a': 0.005, 'e': 0.5433508690744998}",20,8,5.771995819316341,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
124,False,"{'a': 0.005, 'e': 0.5406408953093166}",20,0,30.946684586987782,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
125,False,"{'a': 0.005, 'e': 0.5379444375946745}",25,10,-33.50152481778306,"{0: 11, 1: 0, 2: 3, 3: 1, 4: 0}",1
126,False,"{'a': 0.005, 'e': 0.5352614285189903}",30,17,-53.900386327055784,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 1}",1
127,False,"{'a': 0.005, 'e': 0.5325918010068972}",25,14,-7.0175599111872256,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
128,False,"{'a': 0.005, 'e': 0.5299354883175685}",25,10,-25.395436290747178,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 1}",1
129,False,"{'a': 0.005, 'e': 0.5272924240430485}",20,0,-3.8974288086775752,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
130,False,"{'a': 0.005, 'e': 0.5246625421065929}",30,19,-7.643590071706095,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 0}",1
131,False,"{'a': 0.005, 'e': 0.522045776761016}",30,12,-11.127246246721878,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 0}",1
132,False,"{'a': 0.005, 'e': 0.5194420625870482}",20,0,-4.552824229305095,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
133,False,"{'a': 0.005, 'e': 0.5168513344916992}",25,6,-78.09597390323138,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 1}",1
134,False,"{'a': 0.005, 'e': 0.5142735277066319}",20,15,2.560115609574041,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.005, 'e': 0.5117085777865424}",25,1,-75.10582415208538,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 1}",1
136,False,"{'a': 0.005, 'e': 0.5091564206075492}",20,0,-146.6661297626362,"{0: 12, 1: 0, 2: 4, 3: 2, 4: 2}",0
137,False,"{'a': 0.005, 'e': 0.5066169923655895}",20,8,-14.740025834821196,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
138,False,"{'a': 0.005, 'e': 0.5040902295748255}",35,14,-11.456484270112481,"{0: 17, 1: 2, 2: 2, 3: 0, 4: 0}",1
139,False,"{'a': 0.005, 'e': 0.5015760690660555}",25,5,-10.172073593191104,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",1
140,False,"{'a': 0.005, 'e': 0.49907444798513595}",25,13,-98.2223887992751,"{0: 6, 1: 2, 2: 2, 3: 0, 4: 2}",1
141,False,"{'a': 0.005, 'e': 0.49658530379140947}",25,5,-2.3020003394119746,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",1
142,False,"{'a': 0.005, 'e': 0.4941085742561417}",20,7,-25.522855578699584,"{0: 9, 1: 0, 2: 4, 3: 0, 4: 0}",1
143,False,"{'a': 0.005, 'e': 0.4916441974609651}",20,9,-68.71912398717285,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 1}",1
144,False,"{'a': 0.005, 'e': 0.48919211179633154}",25,0,-80.84993694930068,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
145,False,"{'a': 0.005, 'e': 0.4867522559599717}",30,8,18.391653206710664,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
