trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,7,-64.29314564620982,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 0}",1
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-116.35849611620438,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-113.90637939038045,"{0: 13, 1: 4, 2: 7, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-121.27626100989391,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-211.615563614907,"{0: 14, 1: 6, 2: 6, 3: 1, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-137.06477457577935,"{0: 16, 1: 5, 2: 1, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-116.51527822021424,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-81.91427765257626,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-218.07932955796127,"{0: 12, 1: 4, 2: 5, 3: 0, 4: 4}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,9,-41.79472280137038,"{0: 9, 1: 5, 2: 1, 3: 1, 4: 0}",1
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-111.10894087186543,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-171.64633821189898,"{0: 17, 1: 2, 2: 8, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-177.3651774838051,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 4}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,3,-193.05095124899142,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 3}",1
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-118.11361174454298,"{0: 17, 1: 3, 2: 2, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-59.98153398673563,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-190.3580884742072,"{0: 10, 1: 1, 2: 4, 3: 2, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-119.91657679622175,"{0: 16, 1: 2, 2: 3, 3: 3, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-100.6709761139461,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-89.02141070830315,"{0: 18, 1: 5, 2: 6, 3: 1, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-198.71395524179923,"{0: 14, 1: 6, 2: 6, 3: 2, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-94.7902864877821,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-195.8652906563594,"{0: 12, 1: 2, 2: 8, 3: 0, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-204.87107813508769,"{0: 10, 1: 1, 2: 3, 3: 3, 4: 3}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-110.78937516069611,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-17.361771011778142,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-165.33894082581335,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 3}",0
8,True,"{'a': 0.5, 'e': 1.0}",35,5,-176.80780713251013,"{0: 18, 1: 2, 2: 7, 3: 0, 4: 3}",1
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-106.25024848209557,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-88.94929074852475,"{0: 10, 1: 2, 2: 7, 3: 1, 4: 0}",0
